title,plot
G.I. Jane (1997),"b""G.I. Jane. When a crusading chairperson of the military budget committee pressures the would be Navy secretary to begin full gender integration of the service, he offers the chance for a test case for a female trainee in the US Navy's elite SEAL/C.R.T. selection program. LT. Jordan O'Neill is given the assignment, but no one expects her to succeed in an inhumanly punishing regime that has a standard 60% dropout rate for men. However, O'Neill is determined to prove everyone wrong."""
Cop Land (1997),"b'Cop Land. Sometime in the 1970\'s, police officers from New York City wanted a safe haven to live, away from the dangers of the streets of New York City, this is when they established a ""Cop Land"" in the small New Jersey town of Garrison. Freddy Heflin who was always admired by the New York cops wanted to become one, but because he was deaf in one ear this prevents him from achieving his goal, but has become sheriff of Garrison. Recently there have been a dark omen surrounding the NYPD, and Freddy is now investigating on this case, then Internal Affairs officer Mo Tilden is also on the case and asks Freddy for help, but Freddy could not. Now Freddy suspects that a New York City cop named Ray Donlan might be one of the many cops who is corrupted by the mob and other criminals. Now, Freddy must find a cop who is nicknamed ""Superboy"" who can testify against Donlan and protect him, before Donlan finds Superboy and kills him.'"
Conspiracy Theory (1997),"b'Conspiracy Theory. Jerry Fletcher is a man in love with a woman he observes from afar. She works for the government. Fletcher is an outspoken critic of that government. He has conspiracy theories for everything, from aliens to political assassinations. But soon, one of his theories finds itself to be accurate. But which one? Some dangerous people want him dead and the only person he trusts is that woman he loves but does not know.'"
"Edge, The (1997)","b'Edge, The. Documentary about the art of film editing. Clips are shown from many groundbreaking films with innovative editing styles.'"
Kiss the Girls (1997),"b""Kiss the Girls. Alex Cross, a Washington D.C. cop and forensic psychologist learns that his niece who is going to college in North Carolina is missing. So he goes there and learns that the police think she's among the victims of someone who kidnaps young girls and holds them captive and kills them who dubs himself Cassanova after the great lover. Later Kate, one of his victims, escapes and tries to help Cross find his niece."""
"Game, The (1997)","b'Game, The. A documentary that follows the journeys of indie game developers as they create games and release those works, and themselves, to the world.'"
U Turn (1997),"b""U Turn. When Bobby's car breaks down in the desert while on the run from some of the bookies who have already taken two of his fingers, he becomes trapped in the nearby small town where the people are stranger than anyone he's encountered. After becoming involved with a (unbeknownst to him) young married woman, her husband hires Bobby to kill her. Later, she hires Bobby to kill the husband."""
Bean (1997),"b'Bean. Bean works as a caretaker at Britain\'s formidable Royal National Gallery, and his bosses want to fire him because he sleeps at work all the time, but can\'t because the chairman of the gallery\'s board defends him. They send him to USA, to the small Los Angeles art gallery instead, where he\'ll have to officiate at the opening of the greatest US picture ever (called ""Whistler\'s Mother"").'"
Boogie Nights (1997),"b""Boogie Nights. Adult film director Jack Horner is always on the lookout for new talent and it's only by chance that he meets Eddie Adams who is working as a busboy in a restaurant. Eddie is young, good looking and plenty of libido to spare. Using the screen name Dirk Diggler, he quickly rises to the top of his industry winning awards year after year. Drugs and ego however come between Dirk and those around him and he soon finds that fame is fleeting."""
"Man Who Knew Too Little, The (1997)","b'Man Who Knew Too Little, The. '"
Alien: Resurrection (1997),"b""Alien: Resurrection. 200 years after the conclusion of Alien 3, the Company is able to resurrect Ripley through the process of cloning and the scientists successfully take the Queen Alien out of her. But, Ripley's DNA gets mixed up with the Queen's and she begins to develop certain alien characteristics. The scientists begin breeding the aliens, but they later escape. Soon the Xeno-morphs are running amok on the ship, which is on course to Earth. The Queen then gives birth to a deadly new breed of alien, which could spell disaster for the entire human race. It's up to Ripley and a band of space pirates to stop the ship before it reaches Earth."""
"Apostle, The (1997)","b'Apostle, The. '"
Deconstructing Harry (1997),"b""Deconstructing Harry. Harry Block is a well-regarded novelist whose tendency to thinly-veil his own experiences in his work, as well as his un-apologetic attitude and his proclivity for pills and whores, has left him with three ex-wives that hate him. As he is about to be honored for his writing by the college that expelled him, he faces writer's block and the impending marriage of his latest flame to a writer friend. As scenes from his stories and novels pass and interact with him, Harry faces the people whose lives he has affected - wives, lovers, his son, his sister."""
Jackie Brown (1997),"b""Jackie Brown. The middle-aged stewardess Jackie Brown smuggles money from Mexico to Los Angeles for the arms dealer Ordell Robbie. When she gets caught by the agents Ray Nicolet and Mark Dargus with ten thousand dollars and cocaine in her purse, they propose a deal to her to help them to arrest Ordell in exchange of her freedom. Meanwhile Ordell asks the 56-year-old Max Cherry, who runs a bail bond business, to release Jackie Brown with the intention of eliminating her. Jackie suspects of Ordell's intention and plots a complicated confidence game with Max to steal half a million dollars from Ordell."""
Wag the Dog (1997),"b'Wag the Dog. After being caught in a scandalous situation days before the election, the president does not seem to have much of a chance of being re-elected. One of his advisers contacts a top Hollywood producer in order to manufacture a war in Albania that the president can heroically end, all through mass media.'"
"Wedding Singer, The (1998)","b'Wedding Singer, The. '"
"Client, The (1994)","b'Client, The. '"
One Flew Over the Cuckoo's Nest (1975),"b""One Flew Over the Cuckoo's Nest. McMurphy has a criminal past and has once again gotten himself into trouble and is sentenced by the court. To escape labor duties in prison, McMurphy pleads insanity and is sent to a ward for the mentally unstable. Once here, McMurphy both endures and stands witness to the abuse and degradation of the oppressive Nurse Ratched, who gains superiority and power through the flaws of the other inmates. McMurphy and the other inmates band together to make a rebellious stance against the atrocious Nurse."""
Spawn (1997),"b""Spawn. An assassin named Al Simmons is double-crossed and murdered by his evil boss Jason Wynn. Al makes a deal with the devil and returns to earth as Spawn to see his wife. He is ordered by the devil's minion, The Clown, to kill Wynn. Wynn has made a deal with the clown too and is suppose to destroy the world with a deadly virus that will help start Armageddon and allow Hell to attack Heaven. Spawn must choose between Good & Evil."""
Clueless (1995),"b'Clueless. Cher, a high school student in Beverly Hills, must survive the ups and downs of adolescent life. Her external demeanor at first seems superficial, but rather it hides her wit, charm, and intelligence which help her to deal with relationships, friends, family, school, and the all-important teenage social life.'"
Black Sheep (1996),"b""Black Sheep. Growing up on the family sheep farm was idyllic for smart, sensitive Harry Olfield, except for some knavish mischief from cocky brother Angus, until their dad has a fatal accident. Fifteen years later, Harry has finished sheep-phobia therapy and his ICT schooling and returns. Angus buys him out, all ready to present the genetically engineered Oldfield sheep he bred with a ruthless team. When environmentalist Grant steals a discarded embryo, which has sharp teeth, he gets bitten by it, and thus the first to be infected with predatory hunger and a mechanism that turns any mammal into a werewolf version. Running for the farm men, Grant's mate, student Experience, gets teamed up with Harry and his boorish but gentle pastoral youth friend Tucker. They must survive both the bloodthirsty sheep and their creators, who didn't realize this yet but dispose of an antidote."""
"Bridges of Madison County, The (1995)","b'Bridges of Madison County, The. '"
Miracle on 34th Street (1994),"b""Miracle on 34th Street. At the Macy's Department Store Thanksgiving Day parade, the actor playing Santa is discovered to be drunk by a whiskered old man. Doris Walker, the no nonsense special events director, persuades the old man to take his place. The old man proves to be a sensation and is quickly recruited to be the store Santa at the main Macy's outlet. While he is successful, Ms. Walker learns that he calls himself Kris Kringle and he claims to be the actual Santa Claus. Despite reassurances by Kringle's doctor that he is harmless, Doris still has misgivings, especially when she has cynically trained herself, and especially her daughter, Susan, to reject all notions of belief and fantasy. And yet, people, especially Susan, begin to notice there is something special about Kris and his determination to advance the true spirit of Christmas amidst the rampant commercialism around him and succeeding in improbable ways. When a raucous conflict with the store's cruelly incompetent psychologist erupts, Kris finds himself held at Bellevue where, in despair, he deliberately fails a mental examination to ensure his commitment. All seems lost until Doris' friend, Fred Gaily, reassures Kris of his worth and agrees to represent him in the fight to secure his release. To achieve that, Fred arranges a formal hearing in which he argues that Kris is sane because he is in fact Santa Claus. What ensues is a bizarre hearing in which people's beliefs are reexamined and put to the test, but even so, it's going to take a miracle for Kris to win."""
Star Trek: Generations (1994),"b""Star Trek: Generations. In the late 23rd century, the gala maiden voyage of the newly-christened Enterprise-B boasts such luminaries as Pavel Chekov, Montgomery Scott and the legendary Captain James T. Kirk as guests. But her maiden voyage turns into a disaster as the unprepared starship is forced to rescue two transport ships from a mysterious energy ribbon. The Enterprise manages to save a handful of the ships' passengers and barely succeeds out intact... but at the cost of Captain Kirk's life. 78 years later, Captain Jean-Luc Picard and the Enterprise-D crew find themselves at odds with renegade scientist Dr. Tolian Soran... who is destroying entire star systems. Only one man can help Picard stop Soran's scheme... and he has been dead for 78 years."""
Muriel's Wedding (1994),"b""Muriel's Wedding. Muriel finds life in Porpoise Spit, Australia dull and spends her days alone in her room listening to Abba music and dreaming of her wedding day. Slight problem, Muriel has never had a date. Then she steals some money to go on a tropical vacation, meets a wacky friend, changes her name to Mariel, and turns her world upside down."""
"Adventures of Priscilla, Queen of the Desert, The (1994)","b'Adventures of Priscilla, Queen of the Desert, The. N/A'"
Naked Gun 33 1/3: The Final Insult (1994),"b""Naked Gun 33 1/3: The Final Insult. Oscar night. Who will win? Who will lose? And will someone please kick that numbskull off stage? Wait! That's no ordinary numbskull. That's Lt. Frank Drebin, crashing the ceremonies to stop a terrorist plot that could mean curtains for him -- or will a simple window shade be enough?"""
True Lies (1994),"b'True Lies. Harry Tasker (Arnold Schwarzenegger) leads a double life. At work he is a government agent with a license to do just about anything, while at home he pretends to be a dull computer salesman. He is on the trail of stolen nuclear weapons that are in the hands of fanatic terrorists when something more important comes up. Harry finds his wife is seeing another man (Bill Paxton) because she needs some adventure in her life. Harry decides to give it to her, juggling pursuit of terrorists on one hand and an adventure for his wife on the other while showing he can Tango all at once.'"
Addams Family Values (1993),"b""Addams Family Values. When an adorable baby boy is added to the Addams household, Wednesday and Pugsley do not hate the baby, they just aren't necessarily excited about his existence. Ok, yeah they do hate the baby. So Wednesday and Pugsley must get rid of the new addition one way or another. Meanwhile a new nanny is added to the household who overtakes Fester. The Addams must stop the nanny, but how?"""
"Age of Innocence, The (1993)","b'Age of Innocence, The. '"
Last Action Hero (1993),"b""Last Action Hero. Young Danny Madigan is a big fan of Jack Slater, a larger-than-life action hero played by Arnold Schwarzenegger. When his best friend, Nick the projectionist, gives him a magic ticket to the new Jack Slater film, Danny is transported into Slater's world, where the good guys always win. One of Slater's enemies, Benedict the hitman, gets hold of the ticket and ends up in Danny's world, where he realises that if he can kill Schwarzenegger, Slater will be no more. Slater and Danny must travel back and stop him."""
"Man Without a Face, The (1993)","b'Man Without a Face, The. '"
Mrs. Doubtfire (1993),"b""Mrs. Doubtfire. Eccentric actor Daniel Hillard is an amusing and caring father. But after a disastrous birthday party for his son, Daniel's wife Miranda draws the line and files a divorce. He can see his three children only once a week which doesn't sit well with him. Daniel also holds a job at a TV studio as a shipping clerk under the recommendation of his liason. But when Miranda puts out an ad for a housekeeper, Daniel takes it upon himself to make a disguise as a Scottish lady named Mrs Doubtfire. And Daniel must also deal with Miranda's new boyfriend Stu Dunemyer."""
Robin Hood: Men in Tights (1993),"b""Robin Hood: Men in Tights. Robin of Locksley, known as the most skilled archer of the land, has just returned to England after fighting in the Holy Crusades, where King Richard the Lionhearted is also fighting. Robin finds that much of what he knew of England has gone to ruin, including his longtime family home having been taken away, all at the hands of the evil Prince John, Richard's brother who has assumed the throne in Richard's absence. Neurotic John is basically being controlled by the equally evil Sheriff of Rottingham, everything they doing to fatten their own coffers at the expense of the commoners and peasants. As such, Robin recruits a band of merry men to help him battle Prince John and the Sheriff, they who include: Blinkin, his blind longtime servant; Ahchoo, the misguided son of Asneeze, the man who helped him escape from prison while fighting in the Crusades; Little John, who seems to think that being called Little is only coincidental to the fact of he being a hulking man; and Little John's friend, Will Scarlet O'Hara, a master with daggers. In going to the palace, Robin falls in love at first sight with Marian of Bagelle, a maid of the court. Marian is looking for the man who has the figurative and literal key to unlock her heart (and more private parts). The Sheriff has his own eyes on Marian, he who in turn is the object of desire of Latrine, a powerful hag of a sorceress of the court. Robin and the Sheriff in particular have a fight to the death mentality to achieve their end goals, which for both are protection of the throne for their trusted royal, and the heart and cherry of Maid Marian."""
Serial Mom (1994),"b""Serial Mom. A picture perfect middle class family is shocked when they find out that one of their neighbors is receiving obscene phone calls. The mom takes slights against her family very personally, and it turns out she is indeed the one harassing the neighbor. As other slights befall her beloved family, the body count begins to increase, and the police get closer to the truth, threatening the family's picture perfect world."""
"Three Musketeers, The (1993)","b'Three Musketeers, The. '"
"Brady Bunch Movie, The (1995)","b'Brady Bunch Movie, The. '"
Ghost (1990),"b""Ghost. Sam Wheat is a banker, Molly Jensen is an artist, and the two are madly in love. However, when Sam is murdered by friend and corrupt business partner Carl Bruner over a shady business deal, he is left to roam the earth as a powerless spirit. When he learns of Carl's betrayal, Sam must seek the help of psychic Oda Mae Brown to set things right and protect Molly from Carl and his goons."""
Batman (1989),"b""Batman. Gotham City. Crime boss Carl Grissom (Jack Palance) effectively runs the town but there's a new crime fighter in town - Batman (Michael Keaton). Grissom's right-hand man is Jack Napier (Jack Nicholson), a brutal man who is not entirely sane... After falling out between the two Grissom has Napier set up with the Police and Napier falls to his apparent death in a vat of chemicals. However, he soon reappears as The Joker and starts a reign of terror in Gotham City. Meanwhile, reporter Vicki Vale (Kim Basinger) is in the city to do an article on Batman. She soon starts a relationship with Batman's everyday persona, billionaire Bruce Wayne."""
Pinocchio (1940),"b'Pinocchio. Inventor Gepetto creates a wooden marionette called Pinocchio. His wish that Pinocchio be a real boy is unexpectedly granted by a fairy. The fairy assigns Jiminy Cricket to act as Pinocchio\'s ""conscience"" and keep him out of trouble. Jiminy is not too successful in this endeavor and most of the film is spent with Pinocchio deep in trouble.'"
Mission: Impossible (1996),"b'Mission: Impossible. In the fourth installment of the Mission Impossible series, Ethan Hunt and a new team race against time to track down Hendricks, a dangerous terrorist who has gained access to Russian nuclear launch codes and is planning a strike on the United States. An attempt by the team to stop him at the Kremlin ends in a disaster, with an explosion causing severe damage to the Kremlin and the IMF being implicated in the bombing, forcing the President to invoke Ghost Protocol, under which the IMF is disavowed, and will be offered no help or backup in any form. Undaunted, Ethan and his team chase Hendricks to Dubai, and from there to Mumbai, but several spectacular action sequences later, they might still be too late to stop a disaster.'"
"Close Shave, A (1995)","b'Close Shave, A. '"
Jack (1996),"b'Jack. The movie is about a boy with a unique aging disorder: one that makes him age 4 times faster than normal. It picks up when Jack (Robin Williams) is 10 years old, but looks 40. He tries to go to public school for the first time, and to become friends with kids his own age. His physical appearance causes him lots of problems, however.'"
Kingpin (1996),"b""Kingpin. Roy Munson was raised to be the best bowler in the world (trained early on by his father). But a fellow bowler, Ernie McCracken and a misunderstanding with some rough punks, leaves poor Roy with the loss of his bowling hand! Not to let this get him down, he gets a prosthetic hand and becomes a travelling sales man. But it's really all down hill for him from that night on until ... One day he meets Ishmael who is Amish and sneaks away from the farm to bowl (his fellow Amish would disown him if they knew)! Roy convinces Ishmael to let him be his trainer and he'll make him the best bowler the world has ever seen. Reluctantly Ishmael agrees to go on the road and shortly afterwards actually finds that life outside the farm is quite fun. Soon their paths cross that of Ernie McCracken who is still a top ranking bowler. While Roy's career and life have landed in the toilet bowl, Ernie is still drawing huge crowds and all the babes! They both square off for the ultimate bowling championship ... to see which one truly IS the champion."""
"Nutty Professor, The (1996)","b'Nutty Professor, The. '"
"Very Brady Sequel, A (1996)","b'Very Brady Sequel, A. '"
Tales from the Crypt Presents: Bordello of Blood (1996),b'Tales from the Crypt Presents: Bordello of Blood. '
My Favorite Year (1982),"b""My Favorite Year. Benjy Stone is the junior writer on the top rated variety/comedy show, in the mid 50s (the early years). Its a new medium and the rules were not fully established. Alan Swann, an Erol Flynn type actor with a drinking problem is to be that weeks guest star. When King Kaiser, the headliner wants to throw Swann off the show, Benjy makes a pitch to save his childhood hero, and is made Swann's babysitter. On top of this, a union boss doesn't care for Kaiser's parody of him and has plans to stop the show."""
Old Yeller (1957),"b""Old Yeller. Young Travis Coates is left to take care of the family ranch with his mother and younger brother while his father goes off on a cattle drive in the 1860's. When a yellow mongrel comes for an uninvited stay with the family, Travis reluctantly adopts the dog. After a series of scrapes involving raccoons, snakes, bears, and all manner of animals, Travis grows to love and respect Old Yeller, who comes to have a profound effect on the boy's life."""
"Parent Trap, The (1961)","b'Parent Trap, The. '"
Cinderella (1950),"b""Cinderella. A girl named Ella (Cinderella) has the purest heart living in a cruel world filled with evil stepsisters and an evil stepmother out to ruin Ella's life. Ella comes one with her pure heart when she meets the prince and dances her way to a better life with glass shoes, and a little help from her fairy godmother, of course."""
Mary Poppins (1964),"b""Mary Poppins. When Jane and Michael, the children of the wealthy and uptight Banks family, are faced with the prospect of a new nanny, they are pleasantly surprised by the arrival of the magical Mary Poppins. Embarking on a series of fantastical adventures with Mary and her Cockney performer friend, Bert, the siblings try to pass on some of their nanny's sunny attitude to their preoccupied parents."""
Alice in Wonderland (1951),"b'Alice in Wonderland. Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called ""Underland,"" she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason--to conquer the horrific Jabberwocky and restore the rightful queen to her throne.'"
William Shakespeare's Romeo and Juliet (1996),"b""William Shakespeare's Romeo and Juliet. """
E.T. the Extra-Terrestrial (1982),"b'E.T. the Extra-Terrestrial. After a gentle alien becomes stranded on Earth, the being is discovered and befriended by a young boy named Elliott. Bringing the extraterrestrial into his suburban California house, Elliott introduces E.T., as the alien is dubbed, to his brother and his little sister, Gertie, and the children decide to keep its existence a secret. Soon, however, E.T. falls ill, resulting in government intervention and a dire situation for both Elliott and the alien.'"
Bob Roberts (1992),"b'Bob Roberts. Documentary-style look at the fictional Senatorial campaign of Bob Roberts, an arch-conservative folk singer turned politician. This political satire includes several original songs co-written and performed by writer/director/star Tim Robbins, and cameo appearances by other stars as reporters and news anchors.'"
To Kill a Mockingbird (1962),"b'To Kill a Mockingbird. Small-town Alabama, 1932. Atticus Finch (played by Gregory Peck) is a lawyer and a widower. He has two young children, Jem and Scout. Atticus Finch is currently defending Tom Robinson, a black man accused of raping a white woman. Meanwhile, Jem and Scout are intrigued by their neighbours, the Radleys, and the mysterious, seldom-seen Boo Radley in particular.'"
Harold and Maude (1971),"b'Harold and Maude. Young adult Harold Chasen, solitary and friendless by choice, is obsessed with death, this fascination manifesting itself in he staging his own fake suicides, driving a hearse, and attending funerals, even of people he doesn\'t know, all to the chagrin of his exasperated wealthy mother with who he lives. Mrs. Chasen is determined for Harold to be ""normal"", including she sending him into therapy to deal with his issues and finding him a girlfriend through a computer dating service. It is at a series of funerals that Harold meets Maude, on the cusp of her eightieth birthday, she who too attends funerals of strangers. Unlike Harold, Maude is obsessed with life - her own life to be more precise - she doing whatever she wants to please herself, damned what others may think or how they may be affected. Since she can\'t take material possessions with her, she is more interested in experiences, with whatever material possessions she has - often ""borrowed"" without asking - only to further those experiences. Their friendship is initially based on how the other can further their own priority. But as Maude shows Harold how to truly live, Harold falls in love with her. Their relationship, already limited in time by the sheer math, is curtailed even more as Maude shows him only not how to live well, but die well.'"
"Day the Earth Stood Still, The (1951)","b'Day the Earth Stood Still, The. '"
Duck Soup (1933),"b'Duck Soup. The country of Freedonia is in the middle of a financial crisis and on the brink of revolution. In order to gain a bail-out from the wealthy Mrs Teasdale, the government appoints Rufus T Firefly as its president. However, Mr Firefly shuns the pomp and pretentiousness of government; along with the prudence and rationality of it too. Meanwhile, the neighbouring country of Sylvania is plotting to overthrow Freedonia and sends Pinky and Chicolini to spy on Firefly. War seems inevitable.'"
Highlander (1986),"b'Highlander. In New York, the owner of a sophisticated antique shop Russell Edwin Nash is challenged to a sword fight in the parking lot of the Madison Square Garden by a man called Iman Fasil that is beheaded by Russell. He hides his sword and is arrested by the police while leaving the stadium. Russell recalls his life in the Sixteenth Century in Scotland, when he is Connor MacLeod and is deadly wounded in a battle against another Clan. However he surprisingly survives and his Clan believes he has a pact with the devil and expels him from their lands. Then he meets Juan Sanchez Villa-Lobos Ramirez that explains that he is immortal unless he is beheaded. Further, the immortals dispute a game killing each other and in the end only one survives receiving a price with the power of the other immortals. Russell is released by the police, but the snoopy forensic agent Brenda J. Wyatt is attracted by the case since she founds fragments of an ancient Katana and follows Russell. But the also immortal Kurgan is hunting down MacLeod and Brenda is in the middle of their battle.'"
Fantasia (1940),"b'Fantasia. Disney animators set pictures to Western classical music as Leopold Stokowski conducts the Philadelphia Orchestra. ""The Sorcerer\'s Apprentice"" features Mickey Mouse as an aspiring magician who oversteps his limits. ""The Rite of Spring"" tells the story of evolution, from single-celled animals to the death of the dinosaurs. ""Dance of the Hours"" is a comic ballet performed by ostriches, hippos, elephants, and alligators. ""Night on Bald Mountain"" and ""Ave Maria"" set the forces of darkness and light against each other as a devilish revel is interrupted by the coming of a new day.'"
Heathers (1989),"b'Heathers. A regular girl, Veronica, tries to survive the social jungle of high school by sticking with the three most popular girls at school who are all called Heather. As she meets a sociopath named JD, her life spirals into a continuous cycle of hate, unintentional murder and indifference, as she exacts revenge on her enemies, also known as her best friends.'"
Forbidden Planet (1956),"b'Forbidden Planet. When Adams and his crew are sent to investigate the silence from a planet inhabited by scientists, he finds all but two have died. Dr. Morbius and his daughter Altaira have somehow survived a hideous monster which roams the planet. Unknown to Adams, Morbius has made a discovery, and has no intention of sharing it (or his daughter!) with anyone.'"
Butch Cassidy and the Sundance Kid (1969),"b'Butch Cassidy and the Sundance Kid. Butch and Sundance are the two leaders of the Hole-in-the-Wall Gang. Butch is all ideas, Sundance is all action and skill. The west is becoming civilized and when Butch and Sundance rob a train once too often, a special posse begins trailing them no matter where they run. Over rock, through towns, across rivers, the group is always just behind them. When they finally escape through sheer luck, Butch has another idea, ""Let\'s go to Bolivia"". Based on the exploits of the historical characters.'"
"American Werewolf in London, An (1981)","b'American Werewolf in London, An. '"
"Amityville Horror, The (1979)","b'Amityville Horror, The. '"
"Birds, The (1963)","b'Birds, The. A citizen of the Veneto in her sixties. Three stories of ""love in the country"": a pseudo Don Giovanni confesses his impotence to the doctor in confidence but he becomes betrayed by him - the medic speaks about his patient with some befriend gossips; a bank employee, after a tormented affair with the young waitress of a bar, returns to be single - disappointed and made bitter; some boys exploit the gratitude of an ingenuous girl from the vicinity. Her father denunciates them but withdraws all efforts after getting a compensation and saves them from jail.'"
Carrie (1976),"b""Carrie. It's nearing the end of the school year. High school senior Carrie White is a social outcast, largely due to being unwise to the ways of the world based on her upbringing. Her mother, Margaret White, is a religious fanatic, her extreme views primarily targeted against sex, which she believes is a sin. She even believes natural associated processes such as menstruation are a sin, about which she has refused to mention to Carrie. Mrs. White's beliefs were taken to that extreme largely because of her own failed marriage and her husband Ralph long ago having run off with another woman. The only adult authority figure who tries to help Carrie with her life is her phys ed teacher, Miss Collins, who is nonetheless warned not to get too close to go against how Mrs. White chooses to raise Carrie, Mrs. White whose beliefs are well known in the community. An impromptu event that happens among Carrie's phys ed classmates against her leads to her classmates being punished. One of those students, self absorbed Chris Hargensen, vows revenge against Carrie for that punishment, the method of the revenge associated to the phys ed class incident. Another student however, the popular Sue Snell, begins to feel sorry for Carrie. In wanting to help her get out of her shell, Sue asks her boyfriend, the equally popular Tommy Ross, to take Carrie to the senior prom instead of her. This move does not sit well with Mrs. White, who in her extreme view believes Carrie will fall prey to sin. All these competing issues lead to Carrie deciding on an impulse to use a newfound skill to free herself from the figurative chains that have long been placed around her, with tragic consequences."""
"Omen, The (1976)","b'Omen, The. '"
Star Trek: The Motion Picture (1979),"b'Star Trek: The Motion Picture. A massive alien spacecraft of enormous power destroys three powerful Klingon cruisers, entering Federation space. Admiral James T. Kirk is ordered to take command of the USS Enterprise for the first time since her historic five-year mission. The Epsilon IX space station alerts the Federation, but they are also destroyed by the alien spacecraft. The only starship in range is the Enterprise--after undergoing a major overhaul at Spacedock on Earth. Kirk rounds up the rest of his crew, and acquires some new members, and sets off to intercept the alien spacecraft. However, it has been there years since Kirk last commanded the Enterprise... is he up to the task of saving Earth?'"
Star Trek V: The Final Frontier (1989),"b""Star Trek V: The Final Frontier. When the newly-christened starship Enterprise's shakedown cruise goes poorly, Captain Kirk and crew put her into Spacedock for repairs. But an urgent mission interrupts their Earth-bound shore leave. A renegade Vulcan named Sybok has taken three ambassadors hostage on Nimbus III, the Planet of Galactic Peace. This event also attracts the attention of a Klingon captain who wants to make a name for himself and sets out to pursue the Enterprise. Sybok's ragtag army captures the Enterprise and takes her on a journey to the center of the galaxy in search of the Supreme Being."""
Grease (1978),"b""Grease. A musical about teens in love in the 50's! It's California 1959 and greaser Danny Zuko and Australian Sandy Olsson are in love. They spend time at the beach, and when they go back to school, what neither of them knows is that they both now attend Rydell High. Danny's the leader of the T-Birds, a group of black leather jacket-wearing greasers while Sandy hangs with the Pink Ladies, a group of pink-wearing girls led by Rizzo. When they clash at Rydell's first pep rally, Danny isn't the same Danny from the beach. They try to be like each other so they can be together."""
Jaws 2 (1978),"b'Jaws 2. Four years after the events of the original ""Jaws"", the town of Amity suddenly experiences series of mysterious boating accidents and disappearances. Chief of Police, Martin Brody, fears that another shark is out there, but he is ignored by the townsfolk. Unfortunately, he\'s right. There is another Great White in the sea. And it wants revenge.'"
Jackie Chan's First Strike (1996),"b""Jackie Chan's First Strike. """
Nixon (1995),"b""Nixon. Director Oliver Stone's exploration of former president Richard Nixon's strict Quaker upbringing, his nascent political strivings in law school, and his strangely self-effacing courtship of his wife, Pat. The contradictions in his character are revealed early, in the vicious campaign against Helen Gahagan Douglas and the oddly masochistic Checkers speech. His defeat at the hands of the hated and envied John F. Kennedy in the 1960 presidential election, followed by the loss of the 1962 California gubernatorial race, seem to signal the end of his career. Yet, although wholly lacking in charisma, Nixon remains a brilliant political operator, seizing the opportunity provided by the backlash against the antiwar movement to take the presidency in 1968. It is only when safely in office, running far ahead in the polls for the 1972 presidential election, that his growing paranoia comes to full flower, triggering the Watergate scandal."""
Smoke (1995),"b""Smoke. The plot of this movie, like smoke itself, drifts and swirls ethereally. Characters and subplots are deftly woven into a tapestry of stories and pictures which only slowly emerges to our view. This film tries to convince us that reality doesn't matter so much as aesthetic satisfaction. In Auggie's New York smoke shop, day by day passes, seemingly unchanging until he teaches us to notice the little details of life. Paul Benjamin, a disheartened and broken writer, has a brush with death that is pivotal and sets up an unlikely series of events that afford him a novel glimpse into the life on the street which he saw, but did not truly perceive, every day. Finally, it's Auggie's turn to spin a tale...."""
Like Water For Chocolate (Como agua para chocolate) (1992),b'Like Water For Chocolate (Como agua para chocolate). '
"Secret of Roan Inish, The (1994)","b'Secret of Roan Inish, The. '"
"Jungle Book, The (1994)","b""Jungle Book, The. In the jungles of India, an orphaned human infant named Mowgli is taken in by a wolf pack under the sponsorship of the black panther, Bagheera. As Mowgli grows up with his canine family, he finds that he has a lot to learn about life in the jungle under the tutelage of Bagheera and Baloo the Bear. At the same time, Mowgli learns to thrive in his own way as he handles the threat of the tiger, Shere Khan and his minions. Throughout the boy's adventures, there is also the growing mystery of his origins and humanity that would change his life forever."""
Red Rock West (1992),"b'Red Rock West. When a promised job for Texan Michael fails to materialise in Wyoming, Mike is mistaken by Wayne to be the hitman he hired to kill his unfaithful wife, Suzanne. Mike takes full advantage of the situation, collects the money and runs. During his getaway, things go wrong, and soon get worse when he runs into the real hitman, Lyle.'"
Rudy (1993),"b'Rudy. Rudy grew up in a steel mill town where most people ended up working, but wanted to play football at Notre Dame instead. There were only a couple of problems. His grades were a little low, his athletic skills were poor, and he was only half the size of the other players. But he had the drive and the spirit of 5 people and has set his sights upon joining the team.'"
Short Cuts (1993),"b'Short Cuts. While helicopters overhead spray against a Medfly infestation a group of Los Angeles lives intersect, some casually, some to more lasting effect. Whilst they go out to concerts and jazz clubs and even have their pools cleaned, they also lie, drink, and cheat. Death itself seems never to be far away, even on a fishing trip.'"
Tombstone (1993),"b'Tombstone. After success cleaning up Dodge City, Wyatt Earp moves to Tombstone, Arizona, and wishes to get rich in obscurity. He meets his brothers there, as well as his old friend Doc Holliday. A band of outlaws that call themselves The Cowboys are causing problems in the region with various acts of random violence, and inevitably come into confrontation with Holliday and the Earps, which leads to a shoot-out at the OK Corral.'"
